ods_id;name;title;description;references;theme;keyword;dcat_ap_ch.domain;dcat_ap_ch.rights;dcat.contact_name;dcat.contact_email;dcat.created;dcat.creator;dcat.accrualperiodicity;attributions;publisher;dcat.issued;modified;language;source_dataset;schema_file
100052;c83f0df5-e967-4967-99e3-fa3c871f384f:Baumbestand_Baum;Baumkataster: Baumbestand;Der Baumkataster umfasst den durch die Stadtgärtnerei Basel (Gebiet Stadt Basel) und die Gemeinde Riehen (Gebiet Riehen) gepflegten Baumbestand. ;"www.geo.bs.ch/baumkataster; https://www.geocat.ch/geonetwork/srv/ger/md.viewer#/full_view/c83f0df5-e967-4967-99e3-fa3c871f384f; https://www.stadtgaertnerei.bs.ch/stadtgruen/stadtbaueme.html";"Raum und Umwelt;Geographie";"Baum;Baumbestand;Stadtbaum;Baumschutz;Unterhalt;Pflege;Kataster";geoinformation-kanton-basel-stadt;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Fachstelle für OGD Basel-Stadt;opendata@bs.ch;2010-01-01;Stadtgärtnerei;;Quelle: Geodaten Kanton Basel-Stadt;Stadtgärtnerei;2020-04-15;2020-04-15;de;https://data-bs.ch/opendatasoft/harvesters/GVA/data/BA__Baumbestand__Baumbestand_Baum.zip;
100054;c83f0df5-e967-4967-99e3-fa3c871f384f:Faellliste_Baumfaellung;Baumkataster: Fäll- und Baumersatzliste;"Der Baumkataster umfasst den durch die Stadtgärtnerei Basel (Gebiet Stadt Basel) und die Gemeinde Riehen (Gebiet Riehen) gepflegten Baumbestand. Bäume sind im Kanton Basel-Stadt gemäss Baumschutzgesetz (BSchG) geschützt. Die Fäll- und Baumersatzliste enthält diejenigen geschützten Bäume, welche innerhalb der nächsten 6 Monate gefällt, ersetzt und neu gepflanzt werden müssen. Fällungen werden jeweils im Winterhalbjahr vorgenommen.
";"www.geo.bs.ch/baumersatz; https://www.geocat.ch/geonetwork/srv/ger/md.viewer#/full_view/c83f0df5-e967-4967-99e3-fa3c871f384f; https://www.stadtgaertnerei.bs.ch/stadtgruen/stadtbaueme.html";"Raum und Umwelt;Geographie";"Baum;Stadtbaum;Unterhalt;Pflege;Ersatz;Fällung;Kataster";geoinformation-kanton-basel-stadt;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Fachstelle für OGD Basel-Stadt;opendata@bs.ch;2010-01-01;Stadtgärtnerei;;Quelle: Geodaten Kanton Basel-Stadt;Stadtgärtnerei;2020-04-15;2020-04-15;de;https://data-bs.ch/opendatasoft/harvesters/GVA/data/BA__Faellliste__Faellliste_Baumfaellung.zip;
100015;01b50c9c-0879-455b-bd0d-3cb66a1025cb:InteressanteOrte;Basel Info: Interessante Orte (POI);Basel Info ist das Fussgängerorientierungssystem für Basel-Stadt. Die detailreich gestalteten Rasterkarten in den Massstäben 1:3000 und 1:10300 ermöglichen den Nutzern, die Stadt selbstständig zu Fuss oder mit dem öV zu entdecken. Zusätzlich bieten 38 Gruppen von Points of Interest, unterteilt in 8 Klassen, nützliche Informationen für Touristen und Anwohner gleichermassen.;"www.geo.bs.ch/baselinfo; https://www.geocat.ch/geonetwork/srv/ger/md.viewer#/full_view/01b50c9c-0879-455b-bd0d-3cb66a1025cb; https://models.geo.bs.ch/Modellbeschreibungen/BI_BaselInfo_KGDM_V1_0.pdf";"Tourismus;Geographie;Kultur, Medien, Informationsgesellschaft, Sport";"Fussgänger;Sehenswürdigkeit;Museum;Kultureinrichtungen;POI;Points of Interest";kantons-und-stadtentwicklung-basel-stadt;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Fachstelle für OGD Basel-Stadt;opendata@bs.ch;2017-05-29;Grundbuch- und Vermessungsamt;;Quelle: Geodaten Kanton Basel-Stadt;Kantons- und Stadtentwicklung;2019-01-09;2019-01-09;de;https://data-bs.ch/opendatasoft/harvesters/GVA/data/BI__InteressanteOrte__InteressanteOrte.zip;
100015;01b50c9c-0879-455b-bd0d-3cb66a1025cb:InteressanteOrte;Basel Info: Interessante Orte (POI);Basel Info ist das Fussgängerorientierungssystem für Basel-Stadt. Die detailreich gestalteten Rasterkarten in den Massstäben 1:3000 und 1:10300 ermöglichen den Nutzern, die Stadt selbstständig zu Fuss oder mit dem öV zu entdecken. Zusätzlich bieten 38 Gruppen von Points of Interest, unterteilt in 8 Klassen, nützliche Informationen für Touristen und Anwohner gleichermassen.;"www.geo.bs.ch/baselinfo; https://www.geocat.ch/geonetwork/srv/ger/md.viewer#/full_view/01b50c9c-0879-455b-bd0d-3cb66a1025cb; https://models.geo.bs.ch/Modellbeschreibungen/BI_BaselInfo_KGDM_V1_0.pdf";"Tourismus;Geographie;Kultur, Medien, Informationsgesellschaft, Sport";"Fussgänger;Sehenswürdigkeit;Museum;Kultureinrichtungen;POI;Points of Interest";kantons-und-stadtentwicklung-basel-stadt;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Fachstelle für OGD Basel-Stadt;opendata@bs.ch;2017-05-29;Grundbuch- und Vermessungsamt;;Quelle: Geodaten Kanton Basel-Stadt;Kantons- und Stadtentwicklung;2019-11-25;2019-11-25;de;https://data-bs.ch/opendatasoft/harvesters/GVA/data/BI__InteressanteOrte__InteressanteOrte.zip;
100017;e1b42f8d-0a03-48f7-98e2-92cf91c5eabc:PL_Ortschaft;Gemeinden;Zum Kanton Basel-Stadt zählen die Stadt Basel und die Gemeinden Riehen und Bettingen.;https://www.geocat.ch/geonetwork/srv/ger/md.viewer#/full_view/e1b42f8d-0a03-48f7-98e2-92cf91c5eabc;"Geographie;Verwaltung;Statistische Grundlagen";"Post;Postleitzahl;Brief;Paket";geoinformation-kanton-basel-stadt;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Fachstelle für OGD Basel-Stadt;opendata@bs.ch;2003-06-01;Grundbuch- und Vermessungsamt;;Quelle: Geodaten Kanton Basel-Stadt;Grundbuch- und Vermessungsamt;2020-04-13;2020-04-13;de;https://data-bs.ch/opendatasoft/harvesters/GVA/data/BS__PLZOrtschaft__PL_Ortschaft.zip;
100016;e1b42f8d-0a03-48f7-98e2-92cf91c5eabc:PL_PLZ6;Postleitzahlenkreise;Die Einteilung des Kantons in adressgenaue Postleitzahlenkreise ist eine Erweiterung der Amtlichen Vermessung des Kantons Basel-Stadt, welche in Zusammenarbeit mit der Post unterhalten wird. Sie wird für die automatische Zuweisung der PLZ zu einer Adresse im kantonalen Datenmark verwendet und an das Bundesamt für Landestopografie (swisstopo) weitergeleitet.;https://www.geocat.ch/geonetwork/srv/ger/md.viewer#/full_view/e1b42f8d-0a03-48f7-98e2-92cf91c5eabc;"Geographie;Verwaltung;Statistische Grundlagen";"Post;Postleitzahl;Brief;Paket";geoinformation-kanton-basel-stadt;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Fachstelle für OGD Basel-Stadt;opendata@bs.ch;2003-06-01;Grundbuch- und Vermessungsamt;;Quelle: Geodaten Kanton Basel-Stadt;Grundbuch- und Vermessungsamt;2020-04-13;2020-04-13;de;https://data-bs.ch/opendatasoft/harvesters/GVA/data/BS__PLZOrtschaft__PL_PLZ6.zip;
100018;be391318-a794-452d-bf4c-e5b7f0f6ba51:Allmendbewilligungen;Allmendbewilligungen;Allmendbewilligungen beinhaltet sämtliche Nutzungen, welche im öffentlichen Raum (Allmend) stattfinden. Die dargestellten genutzten Flächen sind nicht verbindlich.;"www.geo.bs.ch/allmend; https://www.geocat.ch/geonetwork/srv/ger/md.viewer#/full_view/be391318-a794-452d-bf4c-e5b7f0f6ba51";"Öffentliche Ordnung und Sicherheit;Bau- und Wohnungswesen;Geographie";"Baustelle;Plakat;Anlass;Fest;Party;Umleitung";geoinformation-kanton-basel-stadt;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Fachstelle für OGD Basel-Stadt;opendata@bs.ch;2009-01-01;Tiefbauamt;;Quelle: Geodaten Kanton Basel-Stadt;Tiefbauamt;2020-04-15;2020-04-15;de;https://data-bs.ch/opendatasoft/harvesters/GVA/data/BW__Allmendbewilligungen__Allmendbewilligungen.zip;
100019;31d03929-dd6d-4267-872e-a423d27fc6a4:Defibrillatoren;Defibrillatoren;Sämtliche Standorte öffentlich zugänglicher Defibrillatoren in Basel-Stadt sind im Geoportal und in der First Responder App einsehbar. Die entsprechenden Standorte sind mit einem grünen Herz-Symbol signalisiert. Finden Sie den nächsten Defibrillator in Ihrer Nähe.;"www.geo.bs.ch/defibrillatoren; https://www.geocat.ch/geonetwork/srv/ger/md.viewer#/full_view/31d03929-dd6d-4267-872e-a423d27fc6a4; https://models.geo.bs.ch/Modellbeschreibungen/DF_Defibrillatoren_KGDM_V1_0.pdf";"Gesundheit;Geographie";"Notfall;Reanimation;CPR;Herz;Lunge;Wiederbelebung;Standort";geoinformation-kanton-basel-stadt;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Fachstelle für OGD Basel-Stadt;opendata@bs.ch;2018-10-02T00:00:00;Rettung;;Quelle: Geodaten Kanton Basel-Stadt;Rettung;2018-08-20;2018-08-20;de;https://data-bs.ch/opendatasoft/harvesters/GVA/data/DF__Defibrillatoren__Defibrillatoren.zip;
;180417b2-f571-4247-a8fd-8312820c8b17:Denkmalverzeichnis;Denkmalverzeichnis;Die Karte zeigt den momentanen Stand der Erfassung der im Denkmalverzeichnis eingetragenen Denkmäler. Das Denkmalverzeichnis ist als Teil der Gesetzessammlung online unter SG 497.300 ? Denkmalverzeichnis einsehbar.;"www.geo.bs.ch/denkmalschutz; https://www.geocat.ch/geonetwork/srv/ger/md.viewer#/full_view/180417b2-f571-4247-a8fd-8312820c8b17";"Geographie;Raum und Umwelt;Verwaltung";"Denkmal;Altbau;Schutz;Abriss;Umbau;Bau;Baustelle";staedtebau-und-architektur-kanton-basel-stadt;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Fachstelle für OGD Basel-Stadt;opendata@bs.ch;2007-07-01;Städtebau & Architektur;;Quelle: Geodaten Kanton Basel-Stadt;S&A Basler Denkmalpflege;2020-04-15;2020-04-15;de;https://data-bs.ch/opendatasoft/harvesters/GVA/data/DS__Denkmalverzeichnis__Denkmalverzeichnis.zip;
100020;6626105a-19f0-4b36-a520-4e589867caa9:Elternberatung;Elternberatung;Elternberatung ist ein niederschwelliges Beratungsangebot für Eltern mit kleinen Kindern ab Geburt bis zum Eintritt in den Kindergarten. Zentrale Aufgabe ist die Prävention und Gesundheitsförderung im Frühbereich.;"www.geo.bs.ch/elternberatung; https://www.geocat.ch/geonetwork/srv/ger/md.viewer#/full_view/6626105a-19f0-4b36-a520-4e589867caa9; https://models.geo.bs.ch/Modellbeschreibungen/EL_Elternberatung_KGDM_V1_0.pdf";"Gesundheit;Bevölkerung;Geographie";"Kind;Baby;Mutter;Vater;Krankheit;Gesundheit";geoinformation-kanton-basel-stadt;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Fachstelle für OGD Basel-Stadt;opendata@bs.ch;2018-06-05;Jugend, Familie und Sport;;Quelle: Geodaten Kanton Basel-Stadt;Jugend, Familie und Sport;2018-10-17;2018-10-17;de;https://data-bs.ch/opendatasoft/harvesters/GVA/data/EL__Elternberatung__Elternberatung.zip;
